SERVER(0)                        'iikoRMS (iikoServer RMS)'                   {1=2020-12-03 00:00:00, 1000=default, 1100=1100, 1101=150000, 1102=144000}
FULL_EDITION(10)                 'iikoFullEdition (Server)'                   {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(20)                      'ErrorReport (Server)'                       {2=[9 (2020-07-15, 2020-12-03)]}
FRONT_OFFICE_FAST_FOOD(100)      'iikoRMS (iikoFront Fast Food)'              {2=[9 (2020-07-15, 2020-12-03)]}
FRONT_OFFICE_TABLE_SERVICE(101)  'iikoRMS (iikoTableService)'                 {2=[9 (2020-07-15, 2020-12-03)]}
BACK_OFFICE(200)                 'iikoRMS (iikoOffice)'                       {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(203)                     'iikoOfficeLite (iikoOffice)'                {2=[9 (2020-07-15, 2020-12-03)]}
INTEGRATION(300)                 'iikoRMS (Integration)'                      {2=[9 (2020-07-15, 2020-12-03)]}
DELIVERY(400)                    'iikoDelivery (Delivery)'                    {2=[9 (2020-07-15, 2020-12-03)]}
FINANCE(600)                     'iikoRMS (Finance)'                          {2=[9 (2020-07-15, 2020-12-03)]}
PERSONNEL(700)                   'iikoRMS (Personnel)'                        {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(800)                     'iikoRMS (Kitchen)'                          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(900)                     'iikoRMS (VideoSecurity 1 camera)'           {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(1000)                    'iikoRMS (MobileReport)'                     {2=[9 (2020-07-15, 2020-12-03)]}
HOSTESS(1100)                    'iikoRMS (Hostess)'                          {2=[9 (2020-07-15, 2020-12-03)]}
UNKNOWN(1200)                    'iikoRMS (SousChef)'                         {2=[9 (2020-07-15, 2020-12-03)]}
RMS_CHAIN_CONNECTOR(1300)        'iikoChain (Store Connector (1 RMS))'        {2=[9 (2020-07-15, 2020-12-03)]}
CALL_CENTER(1400)                'iikoDelivery (CallCenter)'                  {2=[9 (2020-07-15, 2020-12-03)]}
PBX_CALL_CENTER(1500)            'iikoDelivery (PBX, 1 рабочее место)'        {2=[9 (2020-07-15, 2020-12-03)]}
PBX_FRONT(1501)                  'iikoFrontPBX (iikoDelivery)'                {2=[9 (2020-07-15, 2020-12-03)]}
CHECK_OUT(1600)                  'iikoRMS (iikoCheckOut)'                     {2=[9 (2020-07-15, 2020-12-03)]}
