NAME;CONNECTION;VERSION;CHAIN;CO_CONNECTION
Сапора Итальяно ЦО;http://sap57904.54fz.club:80/resto;7.3.6017.0;True;
Сапора итальяно Casa Italia Буденовский 49/94 (Астор)  ООО Супер Паста;http://sap57911.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно Горизонт Нагибина, 32д  ООО Фуд Лидер;http://sap57908.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно Ла Каффетерия Соколова, 17  ООО Лана;http://sap57912.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора итальяно Магазин Мечникова,75А ИП Дудников;http://sap57906.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора итальяно доставка кц;http://sap57913.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно Просекко Бар Горизонт Нагибина, 32д ООО Банкет Холл;http://sap57910.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно Сапора Береговая, 12 ИП Кейян;http://sap57907.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно Таганрог ООО БРИЗ;http://sap57909.54fz.club:80/resto;6.2.2015.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно ул.Мечникова, 75 А ООО Формула Успеха;http://sap57905.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Сапора Итальяно (Дольче) Dolce Sapore Горизонт Нагибина, 32д ООО Банкет Холл;http://sap57910.54fz.club:80/resto;7.3.6017.0;False;sap57904.54fz.club:80/resto
Бейкери Проджект;http://antouan.54fz.club:80/resto;6.2.1126.0;False;
GoldenHosre;http://goldenhorse.54fz.club:80/resto;7.3.6017.0;False;
SmokeLab;http://smokelabpurple.54fz.club:80/resto;6.2.2015.0;False;
ЕдаВсегда Таганрог;http://tg-evdavsegda.54fz.club:80/resto;6.2.2015.0;False;edavsegdachain.54fz.club:80/resto
ЕдаВсегда;http://edavsegda.54fz.club:80/resto;6.2.2015.0;False;edavsegdachain.54fz.club:80/resto
ЕдаВсегда ЦО;http://edavsegdachain.54fz.club:80/resto;6.2.2015.0;True;
